NetworkID,prop_belA,dens_c,dens_y,dens_o,poldens_c,poldens_y,poldens_o,Qrel,y_o,p_in
1,0.8,0.05,0.05,0.05,0.05,0.05,0.05,0.8,3,0.8
2,0.6,0.05,0.05,0.05,0.05,0.05,0.05,0.8,3,0.8
3,0.5,0.05,0.05,0.05,0.05,0.05,0.05,0.8,3,0.8
4,0.4,0.05,0.05,0.05,0.05,0.05,0.05,0.8,3,0.8
5,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.8,3,0.8
6,0.8,0.05,0.05,0.05,0.05,0.05,0.05,0.6,3,0.6
7,0.6,0.05,0.05,0.05,0.05,0.05,0.05,0.6,3,0.6
8,0.5,0.05,0.05,0.05,0.05,0.05,0.05,0.6,3,0.6
9,0.4,0.05,0.05,0.05,0.05,0.05,0.05,0.6,3,0.6
10,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.6,3,0.6
11,0.8,0.05,0.05,0.05,0.05,0.05,0.05,0.4,3,0.4
12,0.6,0.05,0.05,0.05,0.05,0.05,0.05,0.4,3,0.4
13,0.5,0.05,0.05,0.05,0.05,0.05,0.05,0.4,3,0.4
14,0.4,0.05,0.05,0.05,0.05,0.05,0.05,0.4,3,0.4
15,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.4,3,0.4
16,0.8,0.02,0.02,0.02,0.02,0.02,0.02,0.8,3,0.8
17,0.6,0.02,0.02,0.02,0.02,0.02,0.02,0.8,3,0.8
18,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.8,3,0.8
19,0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.8,3,0.8
20,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.8,3,0.8
21,0.8,0.02,0.02,0.02,0.02,0.02,0.02,0.6,3,0.6
22,0.6,0.02,0.02,0.02,0.02,0.02,0.02,0.6,3,0.6
23,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.6,3,0.6
24,0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.6,3,0.6
25,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.6,3,0.6
26,0.8,0.02,0.02,0.02,0.02,0.02,0.02,0.4,3,0.4
27,0.6,0.02,0.02,0.02,0.02,0.02,0.02,0.4,3,0.4
28,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.4,3,0.4
29,0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.4,3,0.4
30,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.4,3,0.4
31,0.8,0.005,0.005,0.005,0.005,0.005,0.005,0.8,3,0.8
32,0.6,0.005,0.005,0.005,0.005,0.005,0.005,0.8,3,0.8
33,0.5,0.005,0.005,0.005,0.005,0.005,0.005,0.8,3,0.8
34,0.4,0.005,0.005,0.005,0.005,0.005,0.005,0.8,3,0.8
35,0.2,0.005,0.005,0.005,0.005,0.005,0.005,0.8,3,0.8
36,0.8,0.005,0.005,0.005,0.005,0.005,0.005,0.6,3,0.6
37,0.6,0.005,0.005,0.005,0.005,0.005,0.005,0.6,3,0.6
38,0.5,0.005,0.005,0.005,0.005,0.005,0.005,0.6,3,0.6
39,0.4,0.005,0.005,0.005,0.005,0.005,0.005,0.6,3,0.6
40,0.2,0.005,0.005,0.005,0.005,0.005,0.005,0.6,3,0.6
41,0.8,0.005,0.005,0.005,0.005,0.005,0.005,0.4,3,0.4
42,0.6,0.005,0.005,0.005,0.005,0.005,0.005,0.4,3,0.4
43,0.5,0.005,0.005,0.005,0.005,0.005,0.005,0.4,3,0.4
